centre;var;dim;cos2
25;hr;1;0,00248994750925565
25;hr;2;0,079974453497336
25;hr;3;0,819899613051168
25;hr;4;0,0515775512911856
25;hr;5;0,04576800766722
26;bmi;1;0,128200005957975
26;bmi;2;0,0603433854408191
26;bmi;3;0,648696373090053
26;bmi;4;0,0960962067826812
26;bmi;5;0,0657951155833251
26;age;1;0,00333394406821569
26;age;2;0,591049072983863
26;age;3;0,155084492123291
26;age;4;0,0029439585800295
26;age;5;0,247141286157986
26;egfr;1;0,0412661803515822
26;egfr;2;0,561982678373581
26;egfr;3;0,0680341167574896
26;egfr;4;0,110461487962318
26;egfr;5;0,217620724294428
26;sbp;1;0,771538792672084
26;sbp;2;0,0294389557525162
26;sbp;3;0,0618197883049348
26;sbp;4;0,0253528641357581
26;sbp;5;0,0523151141539155
26;dbp;1;0,88606811521366
26;dbp;2;0,000188575746801359
26;dbp;3;0,0107822128867026
26;dbp;4;0,010896190483013
26;dbp;5;0,0205962284303051
26;hr;1;0,319508687220451
26;hr;2;0,0646253840708716
26;hr;3;0,033516338429645
26;hr;4;0,53512609373715
26;hr;5;0,0455857661249887
27;bmi;1;0,317639108018454
27;bmi;2;0,311032458775513
27;bmi;3;0,00519012090399494
27;bmi;4;0,201052189565794
27;bmi;5;0,165042950656611
27;age;1;0,423790977420763
27;age;2;0,0988546975455337
27;age;3;0,273960780597559
27;age;4;0,0186176129456635
27;age;5;0,184306651914057
27;egfr;1;0,137318749240373
27;egfr;2;0,280723183838266
27;egfr;3;0,00279401170256564
27;egfr;4;0,561579267431094
27;egfr;5;0,0148738358810461
27;sbp;1;0,549742606182835
27;sbp;2;0,351259625799482
27;sbp;3;0,00668036912407041
27;sbp;4;0,000158362150128969
27;sbp;5;0,000978609975779725
27;dbp;1;0,621124873606854
27;dbp;2;0,213408617147681
27;dbp;3;0,0617626699445064
27;dbp;4;0,0141657701000203
27;dbp;5;0,00114339174115351
27;hr;1;0,0321677058459958
27;hr;2;0,241708472122012
27;hr;3;0,648780871116777
27;hr;4;0,0132338179120387
27;hr;5;0,0616246571357443
4;bmi;1;0,094613021432696
4;bmi;2;0,00717527902567319
4;bmi;3;0,673941502639825
4;bmi;4;0,173577632766862
4;bmi;5;0,0496034635517765
4;age;1;0,338216090681629
4;age;2;0,332923604246096
4;age;3;0,0633631862694939
4;age;4;0,0253198138866196
4;age;5;0,236516687728954
4;egfr;1;0,091044250619169
4;egfr;2;0,370153942228244
4;egfr;3;0,21690054241051
4;egfr;4;0,212842013010742
4;egfr;5;0,108663788657481
4;sbp;1;0,839331622837061
4;sbp;2;0,026628947072317
4;sbp;3;0,0217546379139906
4;sbp;4;0,020393464757924
4;sbp;5;0,00640778506660703
4;dbp;1;0,7529324188492
4;dbp;2;0,0939143410039984
4;dbp;3;0,0243216042864916
4;dbp;4;0,00315603477201259
4;dbp;5;0,0548884162216064
4;hr;1;0,0131635276586716
4;hr;2;0,45821589398882
4;hr;3;0,0430374537724938
4;hr;4;0,438616352196164
4;hr;5;0,0465506649185886
5;bmi;1;0,165142922524821
5;bmi;2;0,00939870085164901
